,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,DEFAULT_PAYMENT_NEXT_MONTH,TOTAL_BILL_AMT,TOTAL_PAY_AMT
0,1,20000,2,2,1,24,2,2,-1,-1,-2,-2,1,7704,689
1,2,120000,2,2,2,26,-1,2,0,0,0,2,1,17077,5000
2,3,90000,2,2,2,34,0,0,0,0,0,0,0,101653,11018
3,4,50000,2,2,1,37,0,0,0,0,0,0,0,231334,8388
4,5,50000,1,2,1,57,-1,0,-1,0,0,0,0,109339,59049
5,6,50000,1,1,2,37,0,0,0,0,0,0,0,238114,7772
6,7,500000,1,1,2,29,0,0,0,0,0,0,0,2724595,180759
7,8,100000,2,2,2,23,0,-1,-1,0,0,-1,0,13486,4791
8,9,140000,2,3,1,28,0,0,2,0,0,0,0,65212,6761
9,10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,26919,14129
10,11,200000,2,3,2,34,0,0,2,0,0,-1,0,34467,6472
11,12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,0,88369,66308
12,13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,0,41007,23370
13,14,70000,1,2,2,30,1,2,2,0,0,2,1,338685,10700
14,15,250000,1,1,2,29,0,0,0,0,0,0,0,373591,18000
16,17,20000,1,1,2,24,0,0,2,2,2,2,1,106161,6350
17,18,320000,1,1,1,49,0,0,0,-1,-1,-1,0,966014,361897
18,19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0
19,20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0
20,21,130000,2,3,2,39,0,0,0,0,0,-1,0,123883,42231
21,22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,1,1896,1580
22,23,70000,2,2,2,26,2,0,0,2,2,2,1,265475,11010
23,24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,1,26965,22589
24,25,90000,1,1,2,23,0,0,0,-1,0,0,0,31864,16400
25,26,50000,1,3,2,23,0,0,0,0,0,0,0,214295,7891
26,27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,1,-394,2500
27,28,50000,2,3,2,30,0,0,0,0,0,0,0,112268,7112
28,29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,0,40208,39567
29,30,50000,1,1,2,26,0,0,0,0,0,0,0,97082,6600
30,31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,0,113746,97489
31,32,50000,1,2,2,33,2,0,0,0,0,0,1,151869,6934
32,33,100000,1,1,2,32,0,0,0,0,0,0,0,495237,18744
33,34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,0,125744,158502
34,35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,0,58318,45425
35,36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,0,25312,2280
36,37,280000,1,2,1,40,0,0,0,0,0,0,0,1069977,41923
37,38,60000,2,2,2,22,0,0,0,0,0,-1,0,32279,53349
38,39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,1,780,780
39,40,280000,1,1,2,31,-1,-1,2,-1,0,-1,0,51643,37357
40,41,360000,1,1,2,33,0,0,0,0,0,0,0,1650751,243840
41,42,70000,2,1,2,25,0,0,0,0,0,0,0,392856,19342
42,43,10000,1,2,2,22,0,0,0,0,0,0,0,22761,7227
43,44,140000,2,2,1,37,0,0,0,0,0,0,0,385134,20000
44,45,40000,2,1,2,30,0,0,0,2,0,0,0,147185,13000
45,46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,1,0,0
46,47,20000,2,1,2,22,0,0,2,-1,0,0,1,79328,20075
47,48,150000,2,5,2,46,0,0,-1,0,0,-2,1,9837,2183
48,49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,0,114815,93332
49,50,20000,1,1,2,24,0,0,0,0,0,0,0,115810,6246
50,51,70000,1,3,2,42,1,2,2,2,2,0,1,229012,8100
52,53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,0,44125,30668
53,54,180000,2,1,2,25,1,2,0,0,0,0,0,259151,10246
54,55,150000,2,1,2,29,2,0,0,0,0,0,0,176751,12867
55,56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,0,8388,6483
56,57,180000,2,3,1,34,0,0,0,-1,-1,-1,0,55404,29179
57,58,180000,2,2,1,34,0,0,0,0,0,0,0,952362,34062
58,59,200000,2,1,2,34,-1,3,2,2,2,2,0,6747,1900
59,60,400000,2,2,1,29,0,0,0,0,0,0,0,2284140,109029
60,61,500000,2,3,1,28,0,0,0,0,0,0,1,109699,8816
61,62,70000,1,2,1,39,0,0,0,0,0,-1,0,244242,12120
62,63,50000,1,1,2,29,2,2,2,2,2,2,1,157674,6125
63,64,50000,2,2,1,46,0,0,0,-2,-2,-2,1,57884,1000
64,65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,0,2452,2353
65,66,200000,1,1,1,57,-2,-2,-2,-1,2,2,1,469636,9522
66,67,10000,1,2,1,56,2,2,2,0,0,0,1,22852,3010
67,68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,0,8589,9198
68,69,130000,2,3,2,29,1,-2,-2,-1,2,-1,0,7901,41379
69,70,20000,1,5,2,22,2,0,0,0,0,0,0,88326,3700
70,71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,0,2340,1950
71,72,320000,1,2,2,29,2,2,2,2,2,2,1,362152,13800
72,73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,0,26425,19512
73,74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,5514,5514
74,75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,0,142199,141997
75,76,20000,1,2,2,24,0,0,2,0,0,0,0,101328,5590
76,77,50000,1,3,2,25,-1,0,0,0,0,0,0,145406,6358
77,78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,0,1746,1746
78,79,30000,2,2,2,22,0,0,0,0,0,0,1,149186,8411
79,80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,1,0,0
81,82,360000,2,1,2,26,0,0,0,0,0,-1,0,294903,161355
82,83,60000,1,3,2,30,0,0,0,0,0,0,1,143566,5345
83,84,400000,2,2,1,44,0,0,2,0,0,0,0,700952,22753
84,85,50000,2,3,2,49,0,0,0,0,0,0,0,177499,6052
85,86,160000,1,2,2,33,0,0,0,0,0,0,0,667013,101747
86,87,360000,2,1,1,45,-1,-1,2,0,-1,-1,1,3510,2340
87,88,160000,2,2,2,32,0,0,0,0,0,-1,0,31623,8216
88,89,130000,2,1,1,35,0,0,0,-1,-1,-1,0,226534,56705
89,90,20000,1,3,2,44,2,2,0,0,0,2,0,61309,6151
90,91,200000,1,1,1,53,2,2,2,2,2,2,1,862167,32800
91,92,280000,2,1,2,39,-1,-1,-1,0,0,-2,0,15360,3968
92,93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,0,3555,7555
93,94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,0,4162,11018
94,95,60000,2,2,2,23,0,0,0,0,0,0,0,197839,6261
95,96,90000,1,2,2,35,0,0,0,0,0,0,0,354716,11756
96,97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,0,58460,120613
97,98,150000,1,1,2,27,0,0,0,0,0,0,0,479411,23841
98,99,50000,2,3,1,22,0,0,0,0,0,0,0,83794,3783
99,100,20000,1,2,1,38,0,0,0,0,0,-1,1,93217,5685
100,101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,0,13679,13007
101,102,380000,2,1,2,30,-2,-2,-1,0,0,0,0,132602,42019
102,103,480000,1,1,1,63,0,0,0,2,2,0,0,2761015,130971
103,104,50000,2,3,2,22,0,0,0,0,0,0,1,205366,6870
104,105,60000,2,2,2,26,2,2,2,2,2,0,0,342038,13517
105,106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,0,32109,28529
106,107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,0,17865,12794
107,108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,0,10987,15285
108,109,130000,1,2,2,38,0,0,0,-1,-1,-1,0,680938,287768
109,110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,0,-618,0
110,111,330000,2,1,1,31,0,0,2,0,0,0,0,639580,32747
111,112,50000,1,3,1,47,0,0,2,0,0,0,0,93139,7000
112,113,280000,1,2,1,41,2,2,2,2,2,3,0,855008,40604
113,114,100000,2,1,2,24,0,0,0,0,0,0,0,335186,17866
114,115,50000,1,2,2,41,0,0,0,0,0,0,0,119110,5471
115,116,30000,1,1,2,24,-1,2,0,0,3,2,1,117660,6312
116,117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,0,7456,7656
117,118,80000,1,2,2,26,2,0,0,0,0,0,1,99022,7700
118,119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,0,71828,57891
119,120,240000,2,2,2,38,0,0,0,0,-1,-1,0,209703,11073
120,121,50000,1,3,2,37,2,2,2,3,2,2,1,290245,10235
121,122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,1,0,0
122,123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0
123,124,310000,2,2,1,35,2,0,0,0,0,0,1,1626538,53973
124,125,20000,1,1,2,27,0,0,0,0,0,0,0,112100,4308
125,126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0
126,127,200000,1,3,2,52,0,0,0,0,0,0,0,617685,22056
127,128,180000,1,1,1,36,0,0,0,0,0,0,1,668882,14771
128,129,50000,1,2,1,51,0,0,0,0,0,0,1,30548,6200
129,130,60000,1,3,1,55,3,2,2,0,0,0,0,264125,7511
130,131,30000,2,1,2,23,1,-2,-2,-2,-1,-1,0,32776,31886
131,132,240000,1,1,2,41,1,-1,-1,0,0,-1,0,11279,8944
132,133,420000,1,2,1,34,0,0,0,0,0,0,0,1349911,53309
133,134,330000,1,3,1,46,0,0,0,0,0,0,0,1369317,49096
